"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2807","Click on Ticket Priority for Update","Sanity Tests","Tue Aug 05 16:33:15 IST 2025","passed","Tue Aug 05 16:33:18 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","8","UpdateLeadLostReasonTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","710","Click on Ticket Type","Sanity Tests","Tue Aug 05 16:32:56 IST 2025","passed","Tue Aug 05 16:32:56 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","1","RBL Create Field","RBL Tests","Wed Aug 13 11:23:27 IST 2025","failed","Wed Aug 13 11:23:27 IST 2025","RBL - Field Setup Tests","RBL/RBL/D_setupField.spec.js","",""
"","2708","Click on Lead Stage","Sanity Tests","Tue Aug 12 15:48:59 IST 2025","passed","Tue Aug 12 15:49:02 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","8175","createCampaignTest","Sanity Tests","Wed Aug 06 20:21:02 IST 2025","passed","Wed Aug 06 20:21:11 IST 2025","Campaign Creation Updation Tests","","",""
"","79","Ticket Type Update","Sanity Tests","Tue Aug 05 16:33:12 IST 2025","passed","Tue Aug 05 16:33:12 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","1647","Click on Lead Status","RBL Tests","Wed Aug 13 11:34:46 IST 2025","passed","Wed Aug 13 11:34:48 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Status Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","904","ClickOnLeadStageNavigationTest","Sanity Tests","Mon Aug 04 15:59:57 IST 2025","passed","Mon Aug 04 15:59:58 IST 2025","Lead Navigation Tests","","",""
"","2549","Click on Ticket Stage","Sanity Tests","Tue Aug 05 16:35:16 IST 2025","passed","Tue Aug 05 16:35:19 IST 2025","Ticket Process Field Setup Tests > Ticket Stage Creation and Updation","","",""
"","163","RBL Lead Stage Setup","RBL Tests","Wed Aug 13 11:34:44 IST 2025","passed","Wed Aug 13 11:34:44 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Stage Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","5065","ClickonLeadStatusTest","Sanity Tests","Mon Aug 04 18:15:56 IST 2025","failed","Mon Aug 04 18:16:01 IST 2025","Lead Process Field Setup Tests","","",""
"","3","SetupLeadStatusTest","Sanity Tests","Mon Aug 04 16:04:22 IST 2025","skipped","Mon Aug 04 16:04:22 IST 2025","Lead Process Field Setup Tests","","",""
"","3","Create Category First","Sanity Tests","Tue Aug 12 15:46:26 IST 2025","skipped","Tue Aug 12 15:46:26 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","985","ClickOnLeadLostReasonNavigationTest","Sanity Tests","Mon Aug 04 16:00:05 IST 2025","passed","Mon Aug 04 16:00:06 IST 2025","Lead Navigation Tests","","",""
"","79","Ticket Stage Update","Sanity Tests","Tue Aug 05 16:35:34 IST 2025","passed","Tue Aug 05 16:35:34 IST 2025","Ticket Process Field Setup Tests > Ticket Stage Creation and Updation","","",""
"","171","RBL Lead Lost Reason Setup","RBL Tests","Wed Aug 13 11:34:52 IST 2025","passed","Wed Aug 13 11:34:52 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Lost Reason Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","1","UpdateLeadFieldTest","Sanity Tests","Tue Aug 12 15:44:54 IST 2025","skipped","Tue Aug 12 15:44:54 IST 2025","Lead Field Setup Tests","","",""
"","2658","Click on Lead Lost Reason","Sanity Tests","Tue Aug 12 15:49:25 IST 2025","passed","Tue Aug 12 15:49:28 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","2214","CreateLeadStageTest","Sanity Tests","Mon Aug 04 15:44:03 IST 2025","passed","Mon Aug 04 15:44:05 IST 2025","Lead Process Field Setup Tests","","",""
"","22859","TicketTypeCompleteTest","Sanity Tests","Mon Aug 04 19:43:30 IST 2025","passed","Mon Aug 04 19:43:53 IST 2025","Ticket Process Field Setup Tests","","",""
"","61","Lead Status Update","Sanity Tests","Tue Aug 12 15:49:25 IST 2025","passed","Tue Aug 12 15:49:25 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","100","Ticket Priority Setup","Sanity Tests","Tue Aug 05 16:33:15 IST 2025","passed","Tue Aug 05 16:33:15 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","2","RBL Update Disposition Question Test","RBL Tests","Mon Aug 11 21:30:31 IST 2025","skipped","Mon Aug 11 21:30:31 IST 2025","RBL - Disposition Question Setup Tests","","",""
"","2918","Click on Ticket Priority","Sanity Tests","Tue Aug 05 16:33:12 IST 2025","passed","Tue Aug 05 16:33:15 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","1048","modifyCampaignTest","Sanity Tests","Wed Aug 06 20:18:00 IST 2025","failed","Wed Aug 06 20:18:01 IST 2025","Campaign Creation Updation Tests","","",""
"","1","RBL Update Skill","RBL Tests","Wed Aug 13 11:23:19 IST 2025","skipped","Wed Aug 13 11:23:19 IST 2025","RBL - Skill Setup Tests","RBL/RBL/C_setupSkill.spec.js","",""
"","124","Ticket Type Setup","Sanity Tests","Tue Aug 05 16:33:09 IST 2025","passed","Tue Aug 05 16:33:09 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","477","CreateTicketFieldTest","Sanity Tests","Mon Aug 04 15:45:34 IST 2025","failed","Mon Aug 04 15:45:34 IST 2025","Ticket Field Setup Tests","","",""
"","13","RBL Create Lead Field","RBL Tests","Wed Aug 13 11:23:31 IST 2025","passed","Wed Aug 13 11:23:31 IST 2025","RBL - Lead Field Setup Tests","RBL/RBL/E_setupLeadField.spec.js","",""
"","5026","CreateTicketTypeTest","Sanity Tests","Mon Aug 04 15:44:48 IST 2025","failed","Mon Aug 04 15:44:53 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","111","RBL Create Disposition Screen","RBL Tests","Wed Aug 13 11:24:29 IST 2025","passed","Wed Aug 13 11:24:30 IST 2025","RBL - Disposition Screen Setup Tests","RBL/RBL/H_setupDispositionScreen.spec.js","",""
